stm,pos,size,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loopR.thisRepN,loopR.thisTrialN,loopR.thisN,loopR.thisIndex,loopL.thisRepN,loopL.thisTrialN,loopL.thisN,loopL.thisIndex,Hello.started,Hello.stopped,key_r.started,key_r.stopped,key_gr.started,key_gr.stopped,key_esc_r.keys,key_esc_r.rt,key_esc_r.started,key_esc_r.stopped,fix_right.started,fix_right.stopped,face_r.started,face_r.stopped,key_sel_r.keys,key_sel_r.rt,key_sel_r.started,key_sel_r.stopped,key_l.started,key_l.stopped,key_gl.started,key_gl.stopped,key_esc_l.keys,key_esc_l.rt,key_esc_l.started,key_esc_l.stopped,fix_left.started,fix_left.stopped,face_l.started,face_l.stopped,key_sel_l.keys,key_sel_l.rt,key_sel_l.started,key_sel_l.stopped,bye.started,bye.stopped,sbj,hndns,eye,age,edu,date,expName,psychopyVersion,frameRate,uhnd
20.bmp,"(1.74, 3)","(3.49, 3.49)",0,0,0,0,1,15,132,28,,,,,,,,,,,,,,,325.3853853,None,325.8850296,325.9350187,p,0.8870912,325.8850296,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
10.bmp,"(-1.74, 3)","(3.49, 3.49)",0,0,0,0,1,16,133,16,,,,,,,,,,,,,,,326.8008838,None,327.3002975,327.3501626,p,0.4678101,327.3002975,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
10.bmp,"(1.74, -3)","(3.49, 3.49)",0,0,0,0,1,17,134,19,,,,,,,,,,,,,,,327.7999276,None,328.2995859,328.3494459,p,0.8028672,328.2995859,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
20.bmp,"(0, 0)","(2.18, 2.18)",0,0,0,0,1,18,135,26,,,,,,,,,,,,,,,329.1319771,None,329.6316656,329.6817001,p,0.374804,329.6316656,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
60.bmp,"(0, 6.11)","(5.24, 5.24)",0,0,0,0,1,19,136,86,,,,,,,,,,,,,,,330.0314164,None,330.531154,330.580955,p,0.5289918,330.531154,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
30.bmp,"(0, 6.11)","(5.24, 5.24)",0,0,0,0,1,20,137,47,,,,,,,,,,,,,,,331.0803938,None,331.5802907,331.6301058,p,0.924267,331.5802907,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
30.bmp,"(-1.74, 3)","(3.49, 3.49)",0,0,0,0,1,21,138,42,,,,,,,,,,,,,,,332.5291029,None,333.028804,333.0788217,p,0.524367,333.028804,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
60.bmp,"(-5.25, 3.05)","(5.24, 5.24)",0,0,0,0,1,22,139,87,,,,,,,,,,,,,,,333.5782025,None,334.0779783,334.1279202,p,0.6299908,334.0779783,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
80.bmp,"(0, 6.11)","(5.24, 5.24)",0,0,0,0,1,23,140,112,,,,,,,,,,,,,,,334.7274423,None,335.2269773,335.276871,p,0.6400543,335.2269773,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
60.bmp,"(-1.74, 3)","(3.49, 3.49)",0,0,0,0,1,24,141,81,,,,,,,,,,,,,,,335.8928695,None,336.3929756,336.4427597,p,0.527174,336.3929756,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
70.bmp,"(1.74, 3)","(3.49, 3.49)",0,0,0,0,1,25,142,93,,,,,,,,,,,,,,,336.9423692,None,337.4418634,337.4914246,p,0.4993733,337.4418634,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
80.bmp,"(1.74, -3)","(3.49, 3.49)",0,0,0,0,1,26,143,110,,,,,,,,,,,,,,,337.9580309,None,338.4574709,338.5071049,p,0.4447281,338.4574709,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
30.bmp,"(5.25, 3.05)","(5.24, 5.24)",0,0,0,0,1,27,144,46,,,,,,,,,,,,,,,338.9236798,None,339.4234266,339.4731193,p,0.5558656,339.4234266,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
50.bmp,"(-3.49, 0)","(3.49, 3.49)",0,0,0,0,1,28,145,69,,,,,,,,,,,,,,,340.0059922,None,340.5059684,340.5554661,p,0.4381294,340.5059684,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
10.bmp,"(-5.25, 3.05)","(5.24, 5.24)",0,0,0,0,1,29,146,22,,,,,,,,,,,,,,,340.9718469,None,341.4715364,341.5214136,p,0.4303105,341.4715364,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
0.bmp,"(5.25, -3.05)","(5.24, 5.24)",0,0,0,0,1,30,147,12,,,,,,,,,,,,,,,341.9211781,None,342.4207939,342.4703665,p,0.6093503,342.4207939,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
40.bmp,"(0, -6.11)","(5.24, 5.24)",0,0,0,0,1,31,148,63,,,,,,,,,,,,,,,343.0532591,None,343.5528658,343.6027038,p,0.4908436,343.5528658,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
10.bmp,"(0, 0)","(2.18, 2.18)",0,0,0,0,1,32,149,13,,,,,,,,,,,,,,,344.0691736,None,344.568777,344.6185747,p,0.5933714,344.568777,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
10.bmp,"(-3.49, 0)","(3.49, 3.49)",0,0,0,0,1,33,150,17,,,,,,,,,,,,,,,345.1847115,None,345.6844006,345.7342423,p,0.433044,345.6844006,None,,,,,,,,,,,,,,,,,,,8101003551,r,r,25,3,2022-03-10_11h43.42.757,HW1_Rostami_810100355,2022.1.1,60.04790623,r
